07/05/2022 12:56:58 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:58 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:58 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:58 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:58 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:58 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:59 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:59 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:59 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:59 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:56:59 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:00 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:00 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:00 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:00 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:00 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:00 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:00 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:00 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:01 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:01 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:01 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:01 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:01 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:01 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:03 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:03 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:03 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:03 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:03 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:03 MQTT-NODO: tp-final/Hanes/ESP32 1.
07/05/2022 12:57:03 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 0.
07/05/2022 12:57:04 MQTT-NODO: tp-final/Hanes/ESP32 1.
