Time (ms), Data
0.000,2395
0.010,2383
0.020,2397
0.030,2352
0.040,2384
0.050,2378
0.060,2390
0.070,2368
0.080,2355
0.090,2359
0.100,2363
0.110,2383
0.120,2383
0.130,2367
0.140,2416
0.150,2419
0.160,2368
0.170,2407
0.180,2375
0.190,2384
0.200,2388
0.210,2355
0.220,2391
0.230,2361
0.240,2371
0.250,2335
0.260,2398
0.270,2368
0.280,2411
0.290,2378
0.300,2384
0.310,2383
0.320,2413
0.330,2429
0.340,2479
0.350,2493
0.360,2497
0.370,2480
0.380,2511
0.390,2530
0.400,2545
0.410,2512
0.420,2550
0.430,2512
0.440,2481
0.450,2404
0.460,2358
0.470,2352
0.480,2359
0.490,2368
0.500,2352
0.510,2298
0.520,2334
0.530,2305
0.540,2292
0.550,2323
0.560,2281
0.570,2297
0.580,2250
0.590,2311
0.600,2268
0.610,2259
0.620,2225
0.630,2240
0.640,2238
0.650,2219
0.660,2243
0.670,2270
0.680,2261
0.690,2271
0.700,2263
0.710,2249
0.720,2256
0.730,2270
0.740,2249
0.750,2224
0.760,2234
0.770,2243
0.780,2256
0.790,2263
0.800,2256
0.810,2286
0.820,2255
0.830,2320
0.840,2301
0.850,2288
0.860,2240
0.870,2337
0.880,2307
0.890,2301
0.900,2365
0.910,2323
0.920,2323
0.930,2378
0.940,2354
0.950,2378
0.960,2427
0.970,2476
0.980,2427
0.990,2461
1.000,2485
1.010,2525
1.020,2531
1.030,2544
1.040,2539
1.050,2598
1.060,2559
1.070,2608
1.080,2581
1.090,2635
1.100,2587
1.110,2643
1.120,2591
1.130,2555
1.140,2544
1.150,2570
1.160,2547
1.170,2506
1.180,2501
1.190,2466
1.200,2419
1.210,2397
1.220,2397
1.230,2375
1.240,2365
1.250,2418
1.260,2357
1.270,2351
1.280,2321
1.290,2315
1.300,2356
1.310,2375
1.320,2341
1.330,2279
1.340,2318
1.350,2288
1.360,2251
1.370,2320
1.380,2235
1.390,2260
1.400,2248
1.410,2224
1.420,2255
1.430,2258
1.440,2207
1.450,2254
1.460,2193
1.470,2199
1.480,2197
1.490,2192
1.500,2208
1.510,2208
1.520,2201
1.530,2222
1.540,2217
1.550,2251
1.560,2247
1.570,2253
1.580,2288
1.590,2245
1.600,2227
1.610,2288
1.620,2240
1.630,2240
1.640,2294
1.650,2314
1.660,2278
1.670,2336
1.680,2365
1.690,2305
1.700,2370
1.710,2373
1.720,2375
1.730,2373
1.740,2473
1.750,2471
1.760,2465
1.770,2505
1.780,2568
1.790,2605
1.800,2571
1.810,2567
1.820,2609
1.830,2652
1.840,2672
1.850,2608
1.860,2608
